antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,connection,dummy-index
3 DRAWER ANTIQUE WHITE WOOD CABINET,WOOD 2 DRAWER CABINET WHITE FINISH,0.025505584062782975,0.02897675822517356,0.014941140959855116,0.5857988165680473,20.21616124260355,0.014202071817076013,2.3443275408563666,0.9754131058142208,2423.0,1.0
WOOD 2 DRAWER CABINET WHITE FINISH,3 DRAWER ANTIQUE WHITE WOOD CABINET,0.02897675822517356,0.025505584062782975,0.014941140959855116,0.515625,20.21616124260355,0.014202071817076013,2.0118594393542546,0.9788999726830003,2423.0,1.0
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED ,0.05206761243585874,0.050709326894053726,0.03727739209175973,0.7159420289855072,14.118547273982056,0.034637078512156874,3.34189063491379,0.9802082883472873,2086.0,1.0
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE GREEN,0.03939028071234531,0.05206761243585874,0.02444913975249019,0.6206896551724138,11.920839580209895,0.022398181882620112,2.4990944763054634,0.9536789735532861,1338.0,1.0
ALARM CLOCK BAKELIKE PINK,ALARM CLOCK BAKELIKE RED ,0.03939028071234531,0.050709326894053726,0.024750980984002413,0.6283524904214559,12.391260718846926,0.022753526362911555,2.554276965779917,0.9569942329431149,1191.0,1.0
ALARM CLOCK BAKELIKE RED ,ALARM CLOCK BAKELIKE GREEN,0.050709326894053726,0.05206761243585874,0.03727739209175973,0.7351190476190476,14.118547273982056,0.034637078512156874,3.5787110361972063,0.9788057645642785,2086.0,1.0
BICYCLE PUNCTURE REPAIR KIT ,CLASSIC BICYCLE CLIPS ,0.015544823422879566,0.012979172955025656,0.010111681255659524,0.6504854368932039,50.11763377737638,0.009909922303898635,2.8239762551564547,0.9955221592482169,2033.0,1.0
CLASSIC BICYCLE CLIPS ,BICYCLE PUNCTURE REPAIR KIT ,0.012979172955025656,0.015544823422879566,0.010111681255659524,0.7790697674418605,50.11763377737638,0.009909922303898635,4.4559550097701255,0.9929344105162261,2033.0,1.0
CARD MOTORBIKE SANTA,CARD CHRISTMAS VILLAGE,0.021883489284636282,0.019468759432538486,0.011017204950196197,0.503448275862069,25.859288960171074,0.01059116056176908,1.974680970587249,0.9828370812047016,335.0,1.0
CARD CHRISTMAS VILLAGE,CARD MOTORBIKE SANTA,0.019468759432538486,0.021883489284636282,0.011017204950196197,0.5658914728682171,25.859288960171078,0.01059116056176908,2.2531612478978915,0.9804166728163262,335.0,1.0
CHILDRENS CUTLERY DOLLY GIRL ,CHILDRENS CUTLERY SPACEBOY ,0.017054029580440687,0.019619680048294598,0.012677331723513431,0.7433628318584071,37.888631722260044,0.012342737119611034,3.8201026260187145,0.9904988557683169,792.0,1.0
CHILDRENS CUTLERY SPACEBOY ,CHILDRENS CUTLERY DOLLY GIRL ,0.019619680048294598,0.017054029580440687,0.012677331723513431,0.6461538461538461,37.88863172226004,0.012342737119611034,2.777890785968319,0.9930909863945578,792.0,1.0
CHILDRENS CUTLERY POLKADOT BLUE,CHILDRENS CUTLERY POLKADOT PINK,0.013733776033806218,0.020072441895562933,0.010413522487171747,0.7582417582417582,37.77526233165331,0.010137852065726496,4.053336717613807,0.9870840402293114,2459.0,1.0
CHILDRENS CUTLERY POLKADOT PINK,CHILDRENS CUTLERY POLKADOT BLUE,0.020072441895562933,0.013733776033806218,0.010413522487171747,0.518796992481203,37.77526233165331,0.010137852065726496,2.0495844966797465,0.9934689978282072,2459.0,1.0
CHOCOLATE HOT WATER BOTTLE,HOT WATER BOTTLE TEA AND SYMPATHY,0.06610322970117719,0.06353757923332327,0.03350437669785693,0.5068493150684931,7.977158103667066,0.029304337503139814,1.8989376865546497,0.9365511277275983,580.0,1.0
HOT WATER BOTTLE TEA AND SYMPATHY,CHOCOLATE HOT WATER BOTTLE,0.06353757923332327,0.06610322970117719,0.03350437669785693,0.5273159144893111,7.977158103667067,0.029304337503139814,1.9757313582703737,0.9339852342269748,580.0,1.0
CHRISTMAS GINGHAM TREE,CHRISTMAS GINGHAM STAR,0.01584666465439179,0.017054029580440687,0.011319046181708422,0.7142857142857143,41.88369152970923,0.0110487966939411,3.440310896468458,0.9918417420641006,941.0,1.0
CHRISTMAS GINGHAM STAR,CHRISTMAS GINGHAM TREE,0.017054029580440687,0.01584666465439179,0.011319046181708422,0.6637168141592921,41.88369152970923,0.0110487966939411,2.926561234054046,0.9930600337785966,941.0,1.0
SPACEBOY LUNCH BOX ,DOLLY GIRL LUNCH BOX,0.03305161485058859,0.02958044068819801,0.01931783881678237,0.5844748858447488,19.758829559220946,0.018340157484045373,2.335405313069062,0.9818411503043547,1922.0,1.0
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX ,0.02958044068819801,0.03305161485058859,0.01931783881678237,0.6530612244897959,19.758829559220946,0.018340157484045373,2.7870865219012444,0.9783291213063764,1922.0,1.0
DOLLY GIRL MINI BACKPACK,SPACEBOY MINI BACKPACK,0.02173256866888017,0.03033504376697857,0.015997585270147902,0.736111111111111,24.266030956329462,0.015338326848408555,3.6745198341461855,0.9800900025033038,1299.0,1.0
